local_bill_id,local_bill_reference,title_canonical,official_long_title,third_party_organisation,initiator_type,initiator_member_id,initiator_party_governance_role,ministerial_portfolio_title,government_type,governing_parties_list,date_introduced,date_final_outcome,royal_assent_date,duration_calendar_days,duration_sitting_days,stage_1_debate_days_count,stage_3_debate_days_count,financial_resolution_required_flag,financial_resolution_approved_flag,financial_resolution_aye_count,financial_resolution_no_count,financial_resolution_abstain_count,effective_majority_margin_at_event_date,party_dissent_rate_at_event_date,voting_coalition_type,committee_id,committee_name,committee_type,committee_convener_member_id,committee_deputy_convener_member_id,final_status,termination_mechanism,raw_payload_json,computed_at
1,SP Bill 1,Mental Health (Public Safety and Appeals) (Scotlan,Mental Health (Public Safety and Appeals) (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 1, ""Reference"": ""SP Bill 1"", ""ShortName"": ""Mental Health (Public Safety and Appeals) (Scotlan"", ""FullName"": ""Mental Health (Public Safety and Appeals) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
2,SP Bill 2,Public Finance and Accountability (Scotland) Bill,Public Finance and Accountability (Scotland) Bill,,EXECUTIVE,2052,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 2, ""Reference"": ""SP Bill 2"", ""ShortName"": ""Public Finance and Accountability (Scotland) Bill"", ""FullName"": ""Public Finance and Accountability (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2052, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
3,SP Bill 3,Abolition of Poindings and Warrant Sales Bill,Abolition of Poindings and Warrant Sales Bill,,INDIVIDUAL_MEMBER,2225,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 3, ""Reference"": ""SP Bill 3"", ""ShortName"": ""Abolition of Poindings and Warrant Sales Bill"", ""FullName"": ""Abolition of Poindings and Warrant Sales Bill"", ""BillTypeID"": 2, ""PersonID"": 2225, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
4,SP Bill 4,Abolition of Feudal Tenure etc. (Scotland) Bill,Abolition of Feudal Tenure etc. (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 4, ""Reference"": ""SP Bill 4"", ""ShortName"": ""Abolition of Feudal Tenure etc. (Scotland) Bill"", ""FullName"": ""Abolition of Feudal Tenure etc. (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
5,SP Bill 5,Adults with Incapacity (Scotland) Bill,Adults with Incapacity (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 5, ""Reference"": ""SP Bill 5"", ""ShortName"": ""Adults with Incapacity (Scotland) Bill"", ""FullName"": ""Adults with Incapacity (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
6,SP Bill 6,Standards in Scotland's Schools etc. Bill,Standards in Scotland's Schools etc. Bill,,EXECUTIVE,2205,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 6, ""Reference"": ""SP Bill 6"", ""ShortName"": ""Standards in Scotland's Schools etc. Bill"", ""FullName"": ""Standards in Scotland's Schools etc. Bill"", ""BillTypeID"": 1, ""PersonID"": 2205, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
7,SP Bill 7,Budget (Scotland) Bill,Budget (Scotland) Bill,,COMMITTEE,2052,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 7, ""Reference"": ""SP Bill 7"", ""ShortName"": ""Budget (Scotland) Bill"", ""FullName"": ""Budget (Scotland) Bill"", ""BillTypeID"": 3, ""PersonID"": 2052, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
8,SP Bill 8,Census (Amendment) (Scotland) Bill,Census (Amendment) (Scotland) Bill,,EXECUTIVE,2077,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 8, ""Reference"": ""SP Bill 8"", ""ShortName"": ""Census (Amendment) (Scotland) Bill"", ""FullName"": ""Census (Amendment) (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 2077, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
9,SP Bill 9,Ethical Standards in Public Life etc. (Scotland) B,Ethical Standards in Public Life etc. (Scotland) Bill,,EXECUTIVE,1877,GOVERNING_PARTY,First Minister / Cabinet Secretary,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 9, ""Reference"": ""SP Bill 9"", ""ShortName"": ""Ethical Standards in Public Life etc. (Scotland) B"", ""FullName"": ""Ethical Standards in Public Life etc. (Scotland) Bill"", ""BillTypeID"": 1, ""PersonID"": 1877, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
10,SP Bill 10,Protection of Wild Mammals (Scotland) Bill,Protection of Wild Mammals (Scotland) Bill,,INDIVIDUAL_MEMBER,2142,OPPOSITION_PARTY,,SINGLE_PARTY_MINORITY,"[""SNP""]",1999-06-16,1999-09-08,1999-09-17,93,24,1,1,1,1,108,0,3,100.0,0.0,CROSS_PARTY_CONSENSUS,1,Health and Community Care Committee,SUBJECT_COMMITTEE,101,102,PASSED_ENACTED,ROYAL_ASSENT_ENACTMENT,"{""ID"": 10, ""Reference"": ""SP Bill 10"", ""ShortName"": ""Protection of Wild Mammals (Scotland) Bill"", ""FullName"": ""Protection of Wild Mammals (Scotland) Bill"", ""BillTypeID"": 2, ""PersonID"": 2142, ""ThirdPartyOrganisation"": null}",2026-07-24T16:29:09.299159Z
